"_id","category"
"60669148a71ef36fccd42d9b","Dolls"
"60669220a71ef36fccd42d9c","Dolls"
"60689d333f31a29428dff634","Cars"
"6068a89301e69b21c7945776","Games and Puzzles"
"6068c118432952b128bdf24c","Dolls"
"606dded3b3024f9378f9190e","Games and Puzzles"
"606ddf62f85e5946bd53e1d6","Action Figures"
"606ddfbef85e5946bd53e1d7","Dolls"
"606de099bc683bf86c6b9a42","Animals"
"606de0b7f85e5946bd53e1d8","Animals"
"606de0dcb3024f9378f9190f","Cars"
"606de12dbc683bf86c6b9a43","Games and Puzzles"
"606de132f85e5946bd53e1d9","Action Figures"
"606de1b8bc683bf86c6b9a44","Dolls"
"606de1f8b3024f9378f91910","Electronic Toys"
"606de2a5f85e5946bd53e1db","Games and Puzzles"
"606de31df85e5946bd53e1dc","Games and Puzzles"
"606de38ef85e5946bd53e1dd","Games and Puzzles"
"606de3e0f85e5946bd53e1de","Games and Puzzles"
"606de42bbc683bf86c6b9a49","Dolls"
"606de44a76610a0cf8fd3d1e","Electronic Toys"
"606de450f85e5946bd53e1df","Games and Puzzles"
"606de4b3bc683bf86c6b9a4a","Cars"
"606e230702da341013e6a2e4","Games and Puzzles"
"606e24035c0d9a1331fc8994","Dolls"
"6070698a756dbf36bcb17425","Action Figures"
"6071f439327716e5adde2133","Games and Puzzles"
